nome,orari,typeIt,typeEn,latitudine,longitudine
Stalimen - Gardonè partenza,08.30 - 16.45,Cabinovia,Cable car,46.32865097008831,11.600544809265102
Stalimen - Gardonè arrivo,08.30 - 16.45,Cabinovia,Cable car,46.340473633360475,11.578400491638149
Ochsenweide partenza,08.30 - 16.45,Cabinovia,Cable car,46.38278736969255,11.525053180950863
Ochsenweide arrivo,08.30 - 16.45,Cabinovia,Cable car,46.37252841376013,11.532391704815609
Monte Agnello partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.341805739427315,11.541146828588808
Monte Agnello arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.333598497056244,11.54784162228998
Tresca partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34185017962468,11.548742844518983
Tresca arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.33093161886916,11.557519032415712
Latemar partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.342398272421974,11.540953709539735
Latemar arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.35053013885287,11.54756267255243
Campanil partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34947854481616,11.543120934423769
Campanil arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.35153728037064,11.54882867520746
Oberholz partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.38335635372246,11.527134968695009
Oberholz arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.371705824057585,11.542799069341982
Absam Maierl partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.36658294938388,11.530997349676454
Absam Maierl arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.36344384080903,11.548249318060243
Reiterjoch partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.35799439383226,11.534387661871278
Reiterjoch arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.352929474850754,11.535374714788759
Obereggen partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34990066598001,11.54185493176874
Obereggen arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.353129414762726,11.53709132855829
Laner partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.36758239184904,11.531169011053407
Laner arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.3716688107905,11.532542302069032
Pala di Santa partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.3497377424084,11.54159743970331
Pala di Santa arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.347234582852316,11.527521206793153
Gardonè - Passo Feudo partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.33942813620687,11.577453209814394
Gardonè - Passo Feudo arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34677541096503,11.558870865759218
Residenza - Passo Feudo partenza,08.30 - 16.20,Seggiovia ad agganciamento automatico,Detachable chairlift,46.3428500745154,11.550352169927919
Residenza - Passo Feudo arrivo,08.30 - 16.20,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34647916899082,11.55857045834955
Campo Scuola Gardonè partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.3409391483591,11.578740670141542
Campo Scuola Gardonè arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34181314612955,11.57453496640619
Campo Scuola Latemar partenza,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.34686428324423,11.545180870947206
Campo Scuola Latemar arrivo,08.30 - 16.30,Seggiovia ad agganciamento automatico,Detachable chairlift,46.349189723194335,11.548184945043886
